Posting Date,Material,Material Description,Quantity,Amt.in loc.cur.,User Name,Document Header Text
24/01/2025,334/F3081,LIFT ARM SUPPORT DEVICE (,-1,-11.57,HOPKINSTR,Damaged - Materials Int
24/01/2025,400/B3777,WA ADBLUE TANK (bracket),-1,-15.16,HOPKINSTR,Damaged - Materials Int
24/01/2025,400/B3805,gA TANK SUPPORT,-2,-10.31,HOPKINSTR,Damaged - Materials Int
24/01/2025,401/A3853,WA TANK SUPPORT,-6,-99.69,HOPKINSTR,Damaged - Materials Int
24/01/2025,728/H6649,CM0711 ECU (P414),-1,-86.89,HOPKINSTR,Damaged - Materials Int
23/01/2025,331/55881,(W) (P) ISOLATER BRACKET,-3,-5.31,HOPKINSTR,Damaged - Materials Int
23/01/2025,332/E6711,WA HEADER TANK BRACKET,-1,-4.93,HOPKINSTR,Damaged - Materials Int
23/01/2025,332/G4034,ABI GA TANK STRAP,-2,-13.32,HOPKINSTR,Damaged - Materials Int
23/01/2025,334/D8272,WASHER BOTTLE BRACKET,-1,-11.16,HOPKINSTR,Damaged - Materials Int
23/01/2025,334/D8272,WASHER BOTTLE BRACKET,-1,-11.16,HOPKINSTR,Damaged - Materials Int
23/01/2025,334/E2106,HEADER TANK BRACKET - T4F,-8,-125.48,HOPKINSTR,Damaged - Materials Int
23/01/2025,334/E8579,WA BRKT HEADER TANK,-9,-42.57,HOPKINSTR,Damaged - Materials Int
23/01/2025,334/F2842,LIFT ARM SUPPORT DEVICE (,-2,-25.62,HOPKINSTR,Damaged - Materials Int
23/01/2025,400/B3805,gA TANK SUPPORT,-1,-5.16,HOPKINSTR,Damaged - Materials Int
23/01/2025,400/M9131,WA RH LIGHT ARM-5AA/B/D,-1,-29.89,HOPKINSTR,Damaged - Materials Int
23/01/2025,400/W6058,TRANS. COVER PLATE,-2,-9.24,HOPKINSTR,Damaged - Materials Int
23/01/2025,401/G7298,WA REAR LIGHT SHROUD,-1,-4.86,HOPKINSTR,Damaged - Materials Int
23/01/2025,401/P6349,WA HEADER TANK BRACKET,-8,-75.10,HOPKINSTR,Damaged - Materials Int
23/01/2025,401/P6437,WA NOX ISOLATION MOUNT,-10,-17.00,HOPKINSTR,Damaged - Materials Int
23/01/2025,402/J5615,INNER BOOM M/C - UNPAINTE,-2,"-1,415.82",BARLOWC,DAMAGED INNERS
23/01/2025,402/J7079,WA UREA TANK CRADLE,-1,-54.50,HOPKINSTR,Damaged - Materials Int
23/01/2025,402/M7766,MTG LH REAR LIGHT 50KP,-3,-41.64,HOPKINSTR,Damaged - Materials Int
23/01/2025,402/M7769,WA MTG RH REAR LIGHT 50KP,-3,-41.64,HOPKINSTR,Damaged - Materials Int
23/01/2025,402/R8113,8*4ECU BRACKET,-9,-224.01,HOPKINSTR,Damaged - Materials Int
22/01/2025,123/06081,(W) (Pre-P)-REGISTRATION PLATE P23,-2,-3.56,HOPKINSTR,Damaged - Production Z7
22/01/2025,26AG/EN148,HOSE-16 BSP LP 1480mm C,-2,-45.93,HOPKINSTR,Damaged - Production Z7
22/01/2025,32/925421,FILLER BREATHER CAP,-1,-17.48,HOPKINSTR,Damaged - Post Obay
22/01/2025,32/925421,FILLER BREATHER CAP,-1,-17.48,HOPKINSTR,Damaged - Post Obay
22/01/2025,32AG/BA210,HOSE -06 BSP HP 2100mm B,-1,-9.11,HOPKINSTR,Damaged - Post Obay
22/01/2025,331/31353,KICK PLATE,-1,-7.83,HOPKINSTR,Damaged - Post Obay
22/01/2025,331/39114,LIFT RAM RECESS COVER P69,-2,-47.52,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/C9086,GAS STRUT - 900N,-1,-2.81,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/D6748,5/8 BSP HYD HOSE TYPE B,-1,-39.21,HOPKINSTR,Damaged - Production Z7
22/01/2025,332/E3428,Worklamp Harness 531/541 LCS,-1,-5.20,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/E9125,HEADER TANK WW,-1,-15.15,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/F2440,BOOM GUARD,-4,-6.08,HOPKINSTR,Damaged - Production Z7
22/01/2025,332/F8450,HOSE 1 BSP 2450mm,-4,-135.22,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/F8450,HOSE 1 BSP 2450mm,-1,-33.81,HOPKINSTR,Damaged - Production Z7
22/01/2025,332/G1466,WA REAR ACCESS COVER,-1,-14.15,HOPKINSTR,Damaged - Post Obay
22/01/2025,332/H5331,SWAY VALVE,-1,-100.04,HOPKINSTR,Damaged - Production Z7
22/01/2025,333/D2728,(W) (P) POD BASE BOTTOM PANEL,-2,-15.32,HOPKINSTR,Damaged - Post Obay
22/01/2025,333/D4846,ABI 55kW EXHAUST,-1,-129.60,HOPKINSTR,Damaged - Production Z7
22/01/2025,333/D6683,WA CAB SIDE COVER 5AW,-1,-13.58,HOPKINSTR,Damaged - Post Obay
22/01/2025,333/G7814,WIDE ANGLE MIRROR,-1,-18.63,HOPKINSTR,Damaged - Production Z7
